individual,sex,site,habitat,replicate
1,F,K,urban,1
1,F,K,urban,2
1,F,K,urban,3
2,F,K,urban,1
2,F,K,urban,2
2,F,K,urban,3
3,F,K,urban,1
3,F,K,urban,2
3,F,K,urban,3
4,F,K,urban,1
4,F,K,urban,2
4,F,K,urban,3
5,F,K,urban,1
5,F,K,urban,2
5,F,K,urban,3
6,M,K,urban,1
6,M,K,urban,2
6,M,K,urban,3
7,M,K,urban,1
7,M,K,urban,2
7,M,K,urban,3
8,F,K,urban,1
8,F,K,urban,2
8,F,K,urban,3
9,M,K,urban,1
9,M,K,urban,2
9,M,K,urban,3
10,M,K,urban,1
10,M,K,urban,2
10,M,K,urban,3
11,F,K,urban,1
11,F,K,urban,2
11,F,K,urban,3
12,F,K,urban,1
12,F,K,urban,2
12,F,K,urban,3
13,F,K,urban,1
13,F,K,urban,2
13,F,K,urban,3
14,F,K,urban,1
14,F,K,urban,2
14,F,K,urban,3
15,F,K,urban,1
15,F,K,urban,2
15,F,K,urban,3
16,F,K,urban,1
16,F,K,urban,2
16,F,K,urban,3
17,F,K,urban,1
17,F,K,urban,2
17,F,K,urban,3
18,M,K,urban,1
18,M,K,urban,2
18,M,K,urban,3
19,M,K,urban,1
19,M,K,urban,2
19,M,K,urban,3
20,F,K,urban,1
20,F,K,urban,2
20,F,K,urban,3
21,F,K,urban,1
21,F,K,urban,2
21,F,K,urban,3
22,F,K,urban,1
22,F,K,urban,2
22,F,K,urban,3
23,F,K,urban,1
23,F,K,urban,2
23,F,K,urban,3
24,M,K,urban,1
24,M,K,urban,2
24,M,K,urban,3
25,F,K,urban,1
25,F,K,urban,2
25,F,K,urban,3
26,F,K,urban,1
26,F,K,urban,2
26,F,K,urban,3
27,F,J,natural,1
27,F,J,natural,2
27,F,J,natural,3
28,F,J,natural,1
28,F,J,natural,2
28,F,J,natural,3
29,F,J,natural,1
29,F,J,natural,2
29,F,J,natural,3
30,F,J,natural,1
30,F,J,natural,2
30,F,J,natural,3
31,F,J,natural,1
31,F,J,natural,2
31,F,J,natural,3
32,F,J,natural,1
32,F,J,natural,2
32,F,J,natural,3
33,F,J,natural,1
33,F,J,natural,2
33,F,J,natural,3
34,F,J,natural,1
34,F,J,natural,2
34,F,J,natural,3
35,F,J,natural,1
35,F,J,natural,2
35,F,J,natural,3
36,F,J,natural,1
36,F,J,natural,2
36,F,J,natural,3
37,F,J,natural,1
37,F,J,natural,2
37,F,J,natural,3
38,F,J,natural,1
38,F,J,natural,2
38,F,J,natural,3
39,F,J,natural,1
39,F,J,natural,2
39,F,J,natural,3
40,F,J,natural,1
40,F,J,natural,2
40,F,J,natural,3
41,F,J,natural,1
41,F,J,natural,2
41,F,J,natural,3
42,F,J,natural,1
42,F,J,natural,2
42,F,J,natural,3
43,F,J,natural,1
43,F,J,natural,2
43,F,J,natural,3
44,F,J,natural,1
44,F,J,natural,2
44,F,J,natural,3
45,M,J,natural,1
45,M,J,natural,2
45,M,J,natural,3
46,M,J,natural,1
46,M,J,natural,2
46,M,J,natural,3
47,M,J,natural,1
47,M,J,natural,2
47,M,J,natural,3
48,M,J,natural,1
48,M,J,natural,2
48,M,J,natural,3
49,M,J,natural,1
49,M,J,natural,2
49,M,J,natural,3
50,M,J,natural,1
50,M,J,natural,2
50,M,J,natural,3
51,M,J,natural,1
51,M,J,natural,2
51,M,J,natural,3
52,M,J,natural,1
52,M,J,natural,2
52,M,J,natural,3
53,M,J,natural,1
53,M,J,natural,2
53,M,J,natural,3
54,M,J,natural,1
54,M,J,natural,2
54,M,J,natural,3
55,F,S,natural,1
55,F,S,natural,2
55,F,S,natural,3
56,F,S,natural,1
56,F,S,natural,2
56,F,S,natural,3
57,M,S,natural,1
57,M,S,natural,2
57,M,S,natural,3
58,F,S,natural,1
58,F,S,natural,2
58,F,S,natural,3
59,F,S,natural,1
59,F,S,natural,2
59,F,S,natural,3
60,F,S,natural,1
60,F,S,natural,2
60,F,S,natural,3
61,F,S,natural,1
61,F,S,natural,2
61,F,S,natural,3
62,F,S,natural,1
62,F,S,natural,2
62,F,S,natural,3
63,F,S,natural,1
63,F,S,natural,2
63,F,S,natural,3
64,M,S,natural,1
64,M,S,natural,2
64,M,S,natural,3
65,M,S,natural,1
65,M,S,natural,2
65,M,S,natural,3
66,F,S,natural,1
66,F,S,natural,2
66,F,S,natural,3
67,F,S,natural,1
67,F,S,natural,2
67,F,S,natural,3
68,F,S,natural,1
68,F,S,natural,2
68,F,S,natural,3
69,F,S,natural,1
69,F,S,natural,2
69,F,S,natural,3
70,M,S,natural,1
70,M,S,natural,2
70,M,S,natural,3
71,F,S,natural,1
71,F,S,natural,2
71,F,S,natural,3
72,F,S,natural,1
72,F,S,natural,2
72,F,S,natural,3
73,M,S,natural,1
73,M,S,natural,2
73,M,S,natural,3
74,M,S,natural,1
74,M,S,natural,2
74,M,S,natural,3
75,F,S,natural,1
75,F,S,natural,2
75,F,S,natural,3
76,F,S,natural,1
76,F,S,natural,2
76,F,S,natural,3
77,F,S,natural,1
77,F,S,natural,2
77,F,S,natural,3
78,M,S,natural,1
78,M,S,natural,2
78,M,S,natural,3
79,M,S,natural,1
79,M,S,natural,2
79,M,S,natural,3
80,M,S,natural,1
80,M,S,natural,2
80,M,S,natural,3
81,M,S,natural,1
81,M,S,natural,2
81,M,S,natural,3
82,M,S,natural,1
82,M,S,natural,2
82,M,S,natural,3
83,M,S,natural,1
83,M,S,natural,2
83,M,S,natural,3
