individual,sex,habitat,site,replicate,name
1,F,urban,K,1,A--
1,F,urban,K,2,A--
1,F,urban,K,3,A--
2,M,urban,K,1,ABCD
2,M,urban,K,2,ABCD
2,M,urban,K,3,ABCD
3,F,urban,K,1,ABCH
3,F,urban,K,2,ABCH
3,F,urban,K,3,ABCH
4,F,urban,K,1,ABD
4,F,urban,K,2,ABD
4,F,urban,K,3,ABD
5,M,urban,K,1,ABH
5,M,urban,K,2,ABH
5,M,urban,K,3,ABH
6,F,urban,K,1,ABI
6,F,urban,K,2,ABI
6,F,urban,K,3,ABI
7,F,urban,K,1,ABJ
7,F,urban,K,2,ABJ
7,F,urban,K,3,ABJ
8,F,urban,K,1,ABK
8,F,urban,K,2,ABK
8,F,urban,K,3,ABK
9,F,urban,K,1,ABN
9,F,urban,K,2,ABN
9,F,urban,K,3,ABN
10,M,urban,K,1,ABO
10,M,urban,K,2,ABO
10,M,urban,K,3,ABO
11,M,urban,K,1,ABQ
11,M,urban,K,2,ABQ
11,M,urban,K,3,ABQ
12,F,urban,K,1,ABU
12,F,urban,K,2,ABU
12,F,urban,K,3,ABU
13,F,urban,K,1,ABV
13,F,urban,K,2,ABV
13,F,urban,K,3,ABV
14,M,urban,K,1,ABW
14,M,urban,K,2,ABW
14,M,urban,K,3,ABW
15,M,urban,K,1,ABX
15,M,urban,K,2,ABX
15,M,urban,K,3,ABX
16,F,urban,K,1,ACD
16,F,urban,K,2,ACD
16,F,urban,K,3,ACD
17,F,urban,K,1,ACH
17,F,urban,K,2,ACH
17,F,urban,K,3,ACH
18,F,urban,K,1,ACI
18,F,urban,K,2,ACI
18,F,urban,K,3,ACI
19,F,urban,K,1,ACJ
19,F,urban,K,2,ACJ
19,F,urban,K,3,ACJ
20,F,urban,K,1,ACK
20,F,urban,K,2,ACK
20,F,urban,K,3,ACK
21,F,urban,K,1,ACNP
21,F,urban,K,2,ACNP
21,F,urban,K,3,ACNP
22,F,urban,K,1,ACO
22,F,urban,K,2,ACO
22,F,urban,K,3,ACO
23,F,urban,K,1,AIJ
23,F,urban,K,2,AIJ
23,F,urban,K,3,AIJ
24,F,urban,K,1,AIK
24,F,urban,K,2,AIK
24,F,urban,K,3,AIK
25,M,urban,K,1,AIN
25,M,urban,K,2,AIN
25,M,urban,K,3,AIN
26,M,urban,K,1,AKN
26,M,urban,K,2,AKN
26,M,urban,K,3,AKN
27,F,urban,K,1,ANO
27,F,urban,K,2,ANO
27,F,urban,K,3,ANO
28,F,urban,K,1,AOV
28,F,urban,K,2,AOV
28,F,urban,K,3,AOV
29,F,urban,K,1,BCN
29,F,urban,K,2,BCN
29,F,urban,K,3,BCN
30,F,urban,K,1,BHNP
30,F,urban,K,2,BHNP
30,F,urban,K,3,BHNP
31,F,urban,K,1,BNO
31,F,urban,K,2,BNO
31,F,urban,K,3,BNO
32,M,urban,K,1,C--
32,M,urban,K,2,C--
32,M,urban,K,3,C--
33,F,urban,K,1,CN-
33,F,urban,K,2,CN-
33,F,urban,K,3,CN-
34,F,urban,K,1,N--
34,F,urban,K,2,N--
34,F,urban,K,3,N--
35,F,natural,J,1,–KX
35,F,natural,J,2,–KX
35,F,natural,J,3,–KX
36,F,natural,J,1,ABC
36,F,natural,J,2,ABC
36,F,natural,J,3,ABC
37,F,natural,J,1,ABD
37,F,natural,J,2,ABD
37,F,natural,J,3,ABD
38,F,natural,J,1,ABI
38,F,natural,J,2,ABI
38,F,natural,J,3,ABI
39,F,natural,J,1,ABK
39,F,natural,J,2,ABK
39,F,natural,J,3,ABK
40,F,natural,J,1,ABN
40,F,natural,J,2,ABN
40,F,natural,J,3,ABN
41,F,natural,J,1,ABQ
41,F,natural,J,2,ABQ
41,F,natural,J,3,ABQ
42,F,natural,J,1,ABW
42,F,natural,J,2,ABW
42,F,natural,J,3,ABW
43,F,natural,J,1,ABX
43,F,natural,J,2,ABX
43,F,natural,J,3,ABX
44,F,natural,J,1,ACH
44,F,natural,J,2,ACH
44,F,natural,J,3,ACH
45,F,natural,J,1,ACJ
45,F,natural,J,2,ACJ
45,F,natural,J,3,ACJ
46,F,natural,J,1,ACK
46,F,natural,J,2,ACK
46,F,natural,J,3,ACK
47,F,natural,J,1,ACO
47,F,natural,J,2,ACO
47,F,natural,J,3,ACO
48,F,natural,J,1,ACW
48,F,natural,J,2,ACW
48,F,natural,J,3,ACW
49,F,natural,J,1,ACX
49,F,natural,J,2,ACX
49,F,natural,J,3,ACX
50,F,natural,J,1,AJK
50,F,natural,J,2,AJK
50,F,natural,J,3,AJK
51,F,natural,J,1,AJX
51,F,natural,J,2,AJX
51,F,natural,J,3,AJX
52,F,natural,J,1,AKX
52,F,natural,J,2,AKX
52,F,natural,J,3,AKX
53,F,natural,J,1,ANO
53,F,natural,J,2,ANO
53,F,natural,J,3,ANO
54,F,natural,J,1,ANP
54,F,natural,J,2,ANP
54,F,natural,J,3,ANP
55,M,natural,J,1,ABJ
55,M,natural,J,2,ABJ
55,M,natural,J,3,ABJ
56,M,natural,J,1,ABO
56,M,natural,J,2,ABO
56,M,natural,J,3,ABO
57,M,natural,J,1,ABU
57,M,natural,J,2,ABU
57,M,natural,J,3,ABU
58,M,natural,J,1,ABV
58,M,natural,J,2,ABV
58,M,natural,J,3,ABV
59,M,natural,J,1,ACD
59,M,natural,J,2,ACD
59,M,natural,J,3,ACD
60,M,natural,J,1,ACI
60,M,natural,J,2,ACI
60,M,natural,J,3,ACI
61,M,natural,J,1,ACN
61,M,natural,J,2,ACN
61,M,natural,J,3,ACN
62,M,natural,J,1,ACV
62,M,natural,J,2,ACV
62,M,natural,J,3,ACV
63,M,natural,J,1,AJW
63,M,natural,J,2,AJW
63,M,natural,J,3,AJW
64,M,natural,J,1,JKW
64,M,natural,J,2,JKW
64,M,natural,J,3,JKW
65,M,natural,S,1,
65,M,natural,S,2,
